Astrocyte,COP,Endothelial,Ependymal,Microglia,Mural,NSC,Neuroblast,OL,OPC,TAP
ENSMUSG00000031906.10,ENSMUSG00000009687.15,ENSMUSG00000033174.18,ENSMUSG00000045672.16,ENSMUSG00000102037.2,ENSMUSG00000037148.9,ENSMUSG00000027805.17,ENSMUSG00000027784.11,ENSMUSG00000024810.17,ENSMUSG00000024330.18,ENSMUSG00000028546.18
ENSMUSG00000030772.7,ENSMUSG00000045215.18,ENSMUSG00000037736.21,ENSMUSG00000040274.12,ENSMUSG00000120992.1,ENSMUSG00000038668.15,ENSMUSG00000019820.12,ENSMUSG00000048388.4,ENSMUSG00000027674.17,ENSMUSG00000047193.17,ENSMUSG00000026764.16
ENSMUSG00000120522.1,ENSMUSG00000019945.11,ENSMUSG00000002885.15,ENSMUSG00000048332.14,ENSMUSG00000038370.7,ENSMUSG00000030249.16,ENSMUSG00000009687.15,ENSMUSG00000022892.12,ENSMUSG00000029223.13,ENSMUSG00000024998.18,ENSMUSG00000032363.16
ENSMUSG00000020799.17,ENSMUSG00000038267.16,ENSMUSG00000041959.15,ENSMUSG00000026894.5,ENSMUSG00000024597.12,ENSMUSG00000022658.11,ENSMUSG00000029406.16,ENSMUSG00000022044.15,ENSMUSG00000020135.14,ENSMUSG00000034903.19,ENSMUSG00000024268.17
ENSMUSG00000075415.14,ENSMUSG00000022661.15,ENSMUSG00000038496.17,ENSMUSG00000005125.14,ENSMUSG00000021701.9,ENSMUSG00000050666.15,ENSMUSG00000021791.8,ENSMUSG00000039620.18,ENSMUSG00000022505.10,ENSMUSG00000066607.6,ENSMUSG00000021087.19
ENSMUSG00000019945.11,ENSMUSG00000063297.8,ENSMUSG00000062151.14,ENSMUSG00000030643.15,ENSMUSG00000078349.5,ENSMUSG00000061171.16,ENSMUSG00000025780.8,ENSMUSG00000069601.15,ENSMUSG00000041828.16,ENSMUSG00000021097.16,ENSMUSG00000007989.8
ENSMUSG00000066607.6,ENSMUSG00000021665.10,ENSMUSG00000056492.7,ENSMUSG00000034485.11,ENSMUSG00000035673.11,ENSMUSG00000086742.10,ENSMUSG00000108841.2,ENSMUSG00000040373.13,ENSMUSG00000024597.12,ENSMUSG00000022033.10,ENSMUSG00000018849.7
ENSMUSG00000029245.17,ENSMUSG00000022231.11,ENSMUSG00000021703.10,ENSMUSG00000019945.11,ENSMUSG00000002885.15,ENSMUSG00000027800.15,ENSMUSG00000003617.17,ENSMUSG00000071847.14,ENSMUSG00000024063.14,ENSMUSG00000031661.13,ENSMUSG00000003534.18
ENSMUSG00000026586.17,ENSMUSG00000026170.7,ENSMUSG00000033863.3,ENSMUSG00000033904.17,ENSMUSG00000032554.16,ENSMUSG00000042249.12,ENSMUSG00000027200.18,ENSMUSG00000037747.10,ENSMUSG00000027581.13,ENSMUSG00000026888.15,ENSMUSG00000004151.18
ENSMUSG00000022033.10,ENSMUSG00000043020.14,ENSMUSG00000026921.21,ENSMUSG00000020788.16,ENSMUSG00000006782.17,ENSMUSG00000028763.19,ENSMUSG00000048794.15,ENSMUSG00000028137.10,ENSMUSG00000031661.13,ENSMUSG00000023868.18,ENSMUSG00000053931.12
ENSMUSG00000051736.9,ENSMUSG00000011154.18,ENSMUSG00000025780.8,ENSMUSG00000029245.17,ENSMUSG00000024521.9,ENSMUSG00000053965.11,ENSMUSG00000025964.16,ENSMUSG00000040118.16,ENSMUSG00000071176.11,ENSMUSG00000026566.16,ENSMUSG00000031565.19
ENSMUSG00000030643.15,ENSMUSG00000027574.16,ENSMUSG00000014846.13,ENSMUSG00000048794.15,ENSMUSG00000024044.20,ENSMUSG00000020099.9,ENSMUSG00000035184.16,ENSMUSG00000025321.15,ENSMUSG00000028076.13,ENSMUSG00000030867.8,ENSMUSG00000062380.5
ENSMUSG00000035805.14,ENSMUSG00000015568.17,ENSMUSG00000020331.10,ENSMUSG00000030551.15,ENSMUSG00000052837.8,ENSMUSG00000026944.19,ENSMUSG00000028294.16,ENSMUSG00000000247.12,ENSMUSG00000057614.7,ENSMUSG00000024236.19,ENSMUSG00000051527.12
ENSMUSG00000022272.18,ENSMUSG00000037999.14,ENSMUSG00000030921.18,ENSMUSG00000037747.10,ENSMUSG00000096957.3,ENSMUSG00000057182.17,ENSMUSG00000071550.15,ENSMUSG00000034488.15,ENSMUSG00000044365.16,ENSMUSG00000096054.4,ENSMUSG00000031548.8
ENSMUSG00000028637.17,ENSMUSG00000027306.16,ENSMUSG00000057182.17,ENSMUSG00000039607.18,ENSMUSG00000090272.10,ENSMUSG00000095041.8,ENSMUSG00000044921.6,ENSMUSG00000020122.17,ENSMUSG00000005672.13,ENSMUSG00000005233.17,ENSMUSG00000034317.15
ENSMUSG00000019775.18,ENSMUSG00000059854.9,ENSMUSG00000029477.15,ENSMUSG00000023868.18,ENSMUSG00000028064.18,ENSMUSG00000028024.15,ENSMUSG00000022661.15,ENSMUSG00000009687.15,ENSMUSG00000037999.14,ENSMUSG00000097736.9,ENSMUSG00000048332.14
ENSMUSG00000028763.19,ENSMUSG00000039542.17,ENSMUSG00000031486.16,ENSMUSG00000063455.17,ENSMUSG00000052397.9,ENSMUSG00000009378.5,ENSMUSG00000024140.11,ENSMUSG00000071265.12,ENSMUSG00000095041.8,ENSMUSG00000037031.11,ENSMUSG00000038738.16
ENSMUSG00000055254.16,ENSMUSG00000027863.9,ENSMUSG00000054690.18,ENSMUSG00000002341.9,ENSMUSG00000022360.9,ENSMUSG00000020486.20,ENSMUSG00000028613.16,ENSMUSG00000027200.18,ENSMUSG00000029343.18,ENSMUSG00000032348.7,ENSMUSG00000044365.16
ENSMUSG00000038267.16,ENSMUSG00000026355.12,ENSMUSG00000041362.18,ENSMUSG00000028556.16,ENSMUSG00000023947.9,ENSMUSG00000020176.18,ENSMUSG00000024427.8,ENSMUSG00000034037.15,ENSMUSG00000001986.17,ENSMUSG00000040118.16,ENSMUSG00000027676.12
