rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000024501.21,Dpysl3,86.57,0.46140046655340766,0.8373474257588391,,,0
2,ENSMUSG00000008575.18,Nfib,77.09,0.7849716094553525,0.9460545523422452,17.0,0.023516482,0
3,ENSMUSG00000008489.19,Elavl2,73.0,0.4335634868617684,0.8368566362553479,,,0
4,ENSMUSG00000000861.16,Bcl11a,71.29,0.40338990745131986,0.8267891706613338,6.0,0.13885814,0
5,ENSMUSG00000017144.9,Rnd3,70.27,0.3422475580202734,0.8686120696718748,,,0
6,ENSMUSG00000055373.9,Fut9,69.41,0.24326078789632122,0.741025581606853,,,0
7,ENSMUSG00000063919.12,Srrm4,68.19,0.37853178827324446,0.8524905384050379,,,0
8,ENSMUSG00000097156.9,Gm3764,67.42,0.1939032784863334,0.8539336199361284,,,0
9,ENSMUSG00000070576.5,Mn1,65.81,0.31649411282490797,0.8188474980157749,,,0
10,ENSMUSG00000020297.11,Nsg2,64.9,0.49507508335147415,0.8391400334581901,31.0,0.008521009,0
11,ENSMUSG00000026640.13,Plxna2,63.58,0.3374516304687775,0.8573201513824746,,,0
12,ENSMUSG00000020601.9,Trib2,63.57,0.11316707376704263,0.7833525167949565,,,0
13,ENSMUSG00000034109.16,Golim4,60.41,0.13722033363232883,0.5491315377493781,,,0
14,ENSMUSG00000035551.7,Igfbpl1,57.77,0.4188365985607209,0.8077249073600797,2.0,0.44000503,0
15,ENSMUSG00000029245.17,Epha5,57.28,0.20764930587893815,0.8019913032907356,,,0
