gene,z,logFC,pvals,p_adj,is_known_marker
Herpud2,3.817783,0.38998455,0.00013465626727080697,0.0006061931548610701,False
Spop,3.8177497,0.24686272,0.00013467439753745076,0.0006061931548610701,False
Aldh4a1,3.8163044,1.2581192,0.00013546529382735945,0.0006094664453600923,False
Atp5b,3.8121347,0.096894965,0.00013777166942413846,0.000619697292857482,False
Clns1a,3.8116531,0.22042441,0.0001380405141186467,0.0006206148460692457,False
Pikfyve,3.8101249,0.45174792,0.00013889667509257224,0.0006241708064326696,False
Invs,3.80755,0.7801673,0.0001403504425945719,0.0006304500153885526,False
Dennd6a,3.8071678,0.3741417,0.00014056738012561577,0.0006312130177357879,False
Foxp4,3.8067524,2.6076803,0.0001408035399869855,0.000631997878004436,False
Arhgef40,3.8060548,0.4533765,0.00014120113001160874,0.0006333368707035809,False
Sco2,3.8050747,0.9777456,0.00014176143563607207,0.0006357010582565097,False
2010107E04Rik,3.803812,0.1194717,0.00014248627155023425,0.0006388017688451472,False
Ociad1,3.8023005,0.23432215,0.00014335875888098958,0.0006424123826324653,False
Psmd1,3.8019848,0.19421974,0.0001435415603545817,0.0006430809746316337,False
Fzd8,3.8010712,1.1836685,0.00014407196073288703,0.0006453061681410543,False
Wdr78,3.7970011,1.2596977,0.00014645715458527759,0.0006555293455583788,False
Dleu7,3.795506,0.75653934,0.00014734264911231556,0.0006593385460277315,False
Brk1,3.7921834,0.15555033,0.00014932849515712256,0.0006680687397877908,False
Mcm2,3.7920506,0.2728186,0.00014940845074989646,0.0006682702357799178,False
Zfpm2,3.7897913,0.7104954,0.00015077387783625807,0.000673905008852906,False
Ecsit,3.7890105,0.39902696,0.00015124847856820114,0.0006758010631893916,False
Bag1,3.7889774,0.13782991,0.000151268705507255,0.0006758010631893916,False
Acp6,3.7858045,0.69260657,0.00015321215540279966,0.0006843012692652465,False
Lta4h,3.7857547,0.34784344,0.00015324286744714178,0.0006843012692652465,False
Trmt112,3.7853892,0.14627944,0.00015346826624033642,0.0006851479233902026,False
Atp1b3,3.7796578,0.26446572,0.00015704400278489754,0.0007009480338852971,False
Swt1,3.7689762,0.2658555,0.00016391853577578643,0.0007312906424738406,False
Cutc,3.766933,0.8086419,0.00016526542347869135,0.0007369559505961495,False
Ccdc134,3.762946,0.8562608,0.00016792352948767958,0.0007482860141710592,False
Dpm1,3.7591085,0.26734254,0.00017051989731082146,0.0007593253407705472,False
Abcb1b,3.7589424,2.3377888,0.00017063314244860587,0.0007596528758604019,False
BC003965,3.7583776,0.2749434,0.000171018705279564,0.0007611923256617617,False
Btbd3,3.7572978,0.88333917,0.00017175809253503318,0.0007643055412759823,False
Slc38a9,3.755919,0.5375462,0.00017270660443418194,0.0007683476760264547,False
Heatr3,3.7545068,0.50949836,0.0001736830765036848,0.0007725122940283578,False
Dgkz,3.7535102,0.53893495,0.00017437547449457752,0.0007750516038903204,False
Emc4,3.7518158,0.26399854,0.00017555851211298443,0.000779766619477932,False
Pla2g7,3.7513173,2.122554,0.00017590789822810298,0.0007811371842662791,False
Camk2a,3.751251,3.9222484,0.00017595453241699076,0.0007811630238758492,False
Arhgef12,3.7493904,0.30724964,0.0001772650196415709,0.0007866160934198993,False
Ccdc74a,3.7471476,2.4786587,0.00017885682348396632,0.0007933118759350247,False
Tbc1d20,3.7465165,0.46667552,0.0001793073050214496,0.0007949415128111012,False
Cct8,3.7460513,0.10483576,0.00017963992120635669,0.0007962316933692591,False
Ogdh,3.7456691,0.27248347,0.00017991357554704093,0.0007972599959237825,False
Tmem107,3.7448385,0.39025068,0.0001805098290847154,0.0007997170414010111,False
Snupn,3.7444565,0.59831667,0.0001807847291503715,0.0008007495790809906,False
Nek9,3.7438252,0.47141945,0.00018123977441799477,0.0008023937179241271,False
Aurkaip1,3.7437255,0.19482392,0.0001813117220345583,0.0008025266068500027,False
Ormdl3,3.742895,0.30586156,0.00018191233064787348,0.0008049988661895146,False
Armc9,3.7417653,0.90971667,0.0001827321605991949,0.0008081731327377938,False
Wasf3,3.7417321,0.5194389,0.00018275632574790593,0.0008081731327377938,False
Pabpc4l,3.7414994,1.9775791,0.00018292556592966634,0.0008087346745964158,False
Mak16,3.7388084,0.2554016,0.00018489466328399967,0.0008172514920536882,False
Psmd10,3.7376785,0.33653015,0.0001857271207006768,0.0008207414830501624,False
Polr3e,3.735984,0.88246274,0.00018698241534869173,0.0008260979795379988,False
Sidt2,3.7352698,0.92826337,0.00018751399418084672,0.0008282553276314852,False
Nap1l5,3.7345223,0.54426235,0.00018807181854844378,0.0008305004249762617,False
Nedd8,3.7342234,0.11889025,0.00018829538472418588,0.0008311313118625907,False
5033430I15Rik,3.7296383,1.756968,0.0001917548323660073,0.000845426338782081,False
Eif2ak1,3.7287745,0.3533893,0.0001924132633808237,0.0008481339124471637,False
Serinc3,3.7278774,0.43477067,0.00019309926714028945,0.000850961748514391,False
Rrp12,3.727761,1.3004067,0.0001931883616491834,0.0008511583917135638,False
Rev1,3.7265651,0.33698756,0.00019410700720041204,0.000855008978321907,False
Ppa1,3.7228606,0.1997775,0.00019697837077259763,0.000867058196461993,False
Sec61a2,3.7200365,0.34760174,0.0001991940608442604,0.0008764080759766207,False
Morn2,3.7186742,0.4439781,0.00020027115711135644,0.0008805397831275559,False
Dlg5,3.7186742,0.8170812,0.00020027115711135644,0.0008805397831275559,False
Nat9,3.7175777,0.44329107,0.00020114206017827005,0.0008839627760624364,False
Atp5d,3.717179,0.13182712,0.00020145963340480156,0.000885155170737947,False
Skil,3.7169132,0.39988992,0.0002016716105150277,0.0008858831658588742,False
Pdcd5,3.7167473,0.16281512,0.0002018042025959392,0.000886262192171565,False
Abcg2,3.7119296,1.0774537,0.00020568518729910493,0.0009026848887222126,False
Mthfd2l,3.706082,0.25028208,0.00021049009389869278,0.000922080546378366,False
Nedd9,3.704288,1.0437541,0.00021198533182733675,0.0009279934276860471,False
Rdh5,3.7041385,1.4763367,0.0002121103841925321,0.0009283285257399662,False
Gtf2h3,3.7033079,0.4239445,0.00021280638201198436,0.0009307361392430002,False
Urah,3.7030587,4.4017587,0.000213015599198158,0.0009314383260346233,False
Me2,3.701464,0.48964736,0.00021435916986416983,0.0009370991667497365,False
Heatr1,3.6984072,0.8288749,0.00021695661836768526,0.0009480211687075636,False
Dsel,3.6980252,0.7446461,0.00021728336942041039,0.0009492322317592409,False
Prkdc,3.6952176,0.6654883,0.0002196984881273725,0.0009593450523088712,False
Imp4,3.6919782,0.29652596,0.00022251647448407486,0.0009709855916896281,False
Abcb8,3.680981,0.72878647,0.00023233836388754,0.0010124599149461814,False
Tnfrsf1a,3.676263,1.0586756,0.00023667546596779906,0.0010308902465083537,False
Nle1,3.6754656,0.66239154,0.0002374159600676145,0.0010338803321351705,False
Bccip,3.6743195,0.25173783,0.0002384842295496896,0.0010380599657383463,False
Ptbp1,3.6738377,0.2056904,0.00023893455705603653,0.0010397836488166175,False
Dhcr24,3.6734056,0.89796823,0.00023933897713893703,0.0010413068159722926,False
